Gene A,Gene B,Phenotype
SPAC1002.05C,SPAC1142.08,1
SPAC1002.05C,SPAC12B10.03,1
SPAC1002.05C,SPAC12B10.05,1
SPAC1002.05C,SPAC12B10.09,1
SPAC1002.05C,SPAC12B10.10,1
SPAC1002.05C,SPAC14C4.05C,1
SPAC1002.05C,SPAC14C4.11,1
SPAC1002.05C,SPAC1687.22C,0
SPAC1002.05C,SPAC16C9.05,1
SPAC1002.05C,SPAC1782.01,1
SPAC1002.05C,SPAC17G8.10C,0
SPAC1002.05C,SPAC18G6.02C,0
SPAC1002.05C,SPAC1952.07,1
SPAC1002.05C,SPAC19B12.08,0
SPAC1002.05C,SPAC19D5.02C,0
SPAC1002.05C,SPAC19E9.02,0
SPAC1002.05C,SPAC1D4.09C,1
SPAC1002.05C,SPAC1F7.10,1
SPAC1002.05C,SPAC1F8.03C,1
SPAC1002.05C,SPAC20G4.02C,1
SPAC1002.05C,SPAC227.18,1
SPAC1002.05C,SPAC22H10.03C,0
SPAC1002.05C,SPAC23A1.06C,1
SPAC1002.05C,SPAC23A1.19C,0
SPAC1002.05C,SPAC23G3.04,0
SPAC1002.05C,SPAC23H3.05C,0
SPAC1002.05C,SPAC23H3.11C,0
SPAC1002.05C,SPAC24B11.12C,1
SPAC1002.05C,SPAC24C9.12C,0
SPAC1002.05C,SPAC24C9.14,1
SPAC1002.05C,SPAC26F1.10C,1
SPAC1002.05C,SPAC2C4.07C,1
SPAC1002.05C,SPAC2C4.09,1
SPAC1002.05C,SPAC2E1P3.02C,0
SPAC1002.05C,SPAC2F3.08,1
SPAC1002.05C,SPAC2F3.11,1
SPAC1002.05C,SPAC2F7.03C,0
SPAC1002.05C,SPAC2H10.01,0
SPAC1002.05C,SPAC31A2.15C,1
SPAC1002.05C,SPAC323.03C,1
SPAC1002.05C,SPAC328.04,0
SPAC1002.05C,SPAC328.05,1
SPAC1002.05C,SPAC3F10.02C,0
SPAC1002.05C,SPAC3F10.05C,1
SPAC1002.05C,SPAC3F10.09,1
SPAC1002.05C,SPAC3F10.15C,0
SPAC1002.05C,SPAC4A8.06C,1
SPAC1002.05C,SPAC4A8.10,0
SPAC1002.05C,SPAC4D7.03,1
SPAC1002.05C,SPAC4G8.05,1
SPAC1002.05C,SPAC4G8.10,0
SPAC1002.05C,SPAC4G8.11C,0
SPAC1002.05C,SPAC4G9.10,0
SPAC1002.05C,SPAC4G9.12,0
SPAC1002.05C,SPAC4G9.14,0
SPAC1002.05C,SPAC4G9.20C,0
SPAC1002.05C,SPAC56F8.14C,0
SPAC1002.05C,SPAC57A10.06,0
SPAC1002.05C,SPAC57A10.10C,0
SPAC1002.05C,SPAC630.10,0
SPAC1002.05C,SPAC644.09,0
SPAC1002.05C,SPAC688.14,1
SPAC1002.05C,SPAC694.04C,1
SPAC1002.05C,SPAC6F6.01,0
SPAC1002.05C,SPAC6F6.04C,1
SPAC1002.05C,SPAC6G10.08,1
SPAC1002.05C,SPAC6G9.01C,1
SPAC1002.05C,SPAC6G9.15C,1
SPAC1002.05C,SPAC7D4.13C,1
SPAC1002.05C,SPAC806.07,1
SPAC1002.05C,SPAC869.11,1
SPAC1002.05C,SPAC8C9.16C,0
SPAC1002.05C,SPAC8F11.02C,1
SPAC1002.05C,SPAC8F11.05C,1
SPAC1002.05C,SPAPB24D3.09C,1
SPAC1002.05C,SPAPB2C8.01,1
SPAC1002.05C,SPAPB8E5.05,1
SPAC1002.05C,SPBC1105.02C,1
SPAC1002.05C,SPBC1105.10,0
SPAC1002.05C,SPBC1105.11C,1
SPAC1002.05C,SPBC1198.03C,1
SPAC1002.05C,SPBC1198.09,0
SPAC1002.05C,SPBC1271.14,1
SPAC1002.05C,SPBC1289.06C,1
SPAC1002.05C,SPBC12C2.02C,0
SPAC1002.05C,SPBC1347.11,0
SPAC1002.05C,SPBC13G1.08C,1
SPAC1002.05C,SPBC16A3.10,1
SPAC1002.05C,SPBC16A3.13,1
SPAC1002.05C,SPBC16E9.14C,0
SPAC1002.05C,SPBC1709.09,1
SPAC1002.05C,SPBC1773.01,0
SPAC1002.05C,SPBC18H10.11C,0
SPAC1002.05C,SPBC18H10.16,1
SPAC1002.05C,SPBC215.02,1
SPAC1002.05C,SPBC215.05,0
SPAC1002.05C,SPBC215.07C,1
SPAC1002.05C,SPBC21D10.10,1
SPAC1002.05C,SPBC21H7.07C,1
SPAC1002.05C,SPBC23E6.03C,1
SPAC1002.05C,SPBC25B2.03,1
SPAC1002.05C,SPBC25B2.10,1
SPAC1002.05C,SPBC25H2.14,1
SPAC1002.05C,SPBC27.05,1
SPAC1002.05C,SPBC28E12.04,1
SPAC1002.05C,SPBC28F2.02,1
SPAC1002.05C,SPBC2A9.11C,1
SPAC1002.05C,SPBC2D10.06,1
SPAC1002.05C,SPBC2G5.06C,0
SPAC1002.05C,SPBC30B4.06C,0
SPAC1002.05C,SPBC30D10.14,1
SPAC1002.05C,SPBC31A8.01C,1
SPAC1002.05C,SPBC32H8.06,1
SPAC1002.05C,SPBC336.05C,1
SPAC1002.05C,SPBC337.03,1
SPAC1002.05C,SPBC337.11,0
SPAC1002.05C,SPBC342.01C,1
SPAC1002.05C,SPBC354.04,0
SPAC1002.05C,SPBC365.01,1
SPAC1002.05C,SPBC36B7.03,1
SPAC1002.05C,SPBC3E7.07C,1
SPAC1002.05C,SPBC3E7.08C,1
SPAC1002.05C,SPBC3H7.11,1
SPAC1002.05C,SPBC3H7.12,0
SPAC1002.05C,SPBC4F6.04,1
SPAC1002.05C,SPBC4F6.10,0
SPAC1002.05C,SPBC530.01,1
SPAC1002.05C,SPBC530.04,1
SPAC1002.05C,SPBC56F2.08C,1
SPAC1002.05C,SPBC725.14,1
SPAC1002.05C,SPBC800.07C,1
SPAC1002.05C,SPBC839.02,1
SPAC1002.05C,SPBC887.04C,1
SPAC1002.05C,SPBC947.05C,1
SPAC1002.05C,SPBC947.09,0
SPAC1002.05C,SPBP35G2.03C,1
SPAC1002.05C,SPBP35G2.04C,1
SPAC1002.05C,SPBP4G3.03,1
SPAC1002.05C,SPBP8B7.10C,1
SPAC1002.05C,SPBP8B7.26,1
SPAC1002.05C,SPBPB10D8.05C,1
SPAC1002.05C,SPBPB10D8.06C,1
SPAC1002.05C,SPBPB2B2.19C,1
SPAC1002.05C,SPBPJ4664.03,1
SPAC1002.05C,SPCC1020.12C,1
SPAC1002.05C,SPCC1183.11,1
SPAC1002.05C,SPCC1223.12C,1
SPAC1002.05C,SPCC1259.14C,1
SPAC1002.05C,SPCC126.12,1
SPAC1002.05C,SPCC1281.07C,1
SPAC1002.05C,SPCC1281.08,1
SPAC1002.05C,SPCC1322.06,1
SPAC1002.05C,SPCC13B11.03C,1
SPAC1002.05C,SPCC1442.07C,1
SPAC1002.05C,SPCC1494.10,1
SPAC1002.05C,SPCC162.06C,0
SPAC1002.05C,SPCC1682.15,0
SPAC1002.05C,SPCC16C4.01,1
SPAC1002.05C,SPCC1739.06C,1
SPAC1002.05C,SPCC1795.01C,1
SPAC1002.05C,SPCC18B5.02C,1
SPAC1002.05C,SPCC24B10.16C,1
SPAC1002.05C,SPCC285.13C,1
SPAC1002.05C,SPCC285.14,1
SPAC1002.05C,SPCC306.10,1
